ServiceID,CarID,Date_of_Service,ServiceType,Cost_of_Service
S61121,C20305,2022-12-09,Tire Replacement,253.0
S67334,C22368,2020-10-13,Tire Replacement,235.0
S128208,C42685,2021-04-12,Brake Replacement,409.0
S128209,C42685,2024-12-12,Battery Replacement,360.0
S140305,C46735,2024-08-19,Suspension Check,316.0
S140306,C46735,2023-08-29,Major Service,324.0
S140307,C46735,2024-05-19,Major Service,213.0
S56107,C18620,2023-06-09,Tire Replacement,309.0
S56110,C18620,2025-05-14,Transmission Check,72.0
S145483,C48493,2021-04-09,Battery Replacement,432.0
S145481,C48493,2025-05-24,Transmission Check,91.0
S145484,C48493,2021-07-11,Clutch Replacement,478.0
S142624,C47523,2022-01-05,Tire Replacement,312.0
S96797,C32208,2025-01-06,Brake Replacement,436.0
S96799,C32208,2024-07-17,Wheel Alignment,481.0
S96798,C32208,2023-08-10,Suspension Check,92.0
S24993,C08271,2023-07-12,Oil Change,151.0
S45507,C15080,2022-12-18,Brake Replacement,437.0
S45508,C15080,2022-04-22,Spark Plug Replacement,364.0
S45509,C15080,2021-03-08,Suspension Check,423.0
S41107,C13625,2024-07-04,Brake Replacement,445.0
S92104,C30639,2020-09-14,Suspension Check,458.0
S92106,C30639,2025-05-02,Major Service,199.0
S92107,C30639,2024-10-07,Suspension Check,141.0
S128100,C42652,2020-09-04,Tire Replacement,67.0
S128101,C42652,2023-05-30,Transmission Check,469.0
S110487,C36804,2023-04-01,Brake Replacement,54.0
S144732,C48225,2023-01-16,Spark Plug Replacement,191.0
S87923,C29227,2023-08-05,Wheel Alignment,209.0
S18037,C05988,2022-02-13,Oil Change,435.0
S18036,C05988,2023-02-13,Tire Replacement,483.0
S144249,C48064,2025-07-03,Clutch Replacement,423.0
S144252,C48064,2023-02-22,Coolant Flush,329.0
S144250,C48064,2023-03-12,Brake Replacement,231.0
S82999,C27579,2025-01-08,Suspension Check,469.0
S83003,C27579,2022-01-10,Suspension Check,495.0
S83001,C27579,2022-11-27,Transmission Check,385.0
S50653,C16824,2021-02-23,Wheel Alignment,237.0
S75449,C25046,2023-10-23,Brake Replacement,146.0
S75450,C25046,2023-05-02,Coolant Flush,144.0
S89038,C29601,2024-05-08,Clutch Replacement,100.0
S31471,C10431,2025-05-05,Tire Replacement,286.0
S77610,C25769,2024-01-26,Major Service,465.0
S87563,C29104,2021-11-08,Suspension Check,264.0
S87565,C29104,2025-08-07,Air Filter Replacement,58.0
S87564,C29104,2023-01-22,Wheel Alignment,76.0
S109707,C36538,2025-05-06,Tire Replacement,128.0
S118084,C39329,2024-05-23,Coolant Flush,349.0
S84464,C28076,2023-03-04,Battery Replacement,445.0
S84466,C28076,2024-09-20,Tire Replacement,59.0
S53724,C17841,2022-02-18,Tire Replacement,273.0
S53727,C17841,2022-06-27,Tire Replacement,203.0
S53726,C17841,2024-05-01,Wheel Alignment,435.0
S23220,C07683,2022-03-30,Wheel Alignment,211.0
S23219,C07683,2022-05-14,Tire Replacement,221.0
S23218,C07683,2021-01-03,Tire Replacement,122.0
S73103,C24280,2025-01-29,Battery Replacement,173.0
S106834,C35558,2021-12-01,Air Filter Replacement,196.0
S106835,C35558,2020-12-22,Brake Replacement,255.0
S111620,C37190,2023-05-04,Transmission Check,108.0
S111623,C37190,2021-12-29,Coolant Flush,449.0
S140859,C46916,2023-01-24,Suspension Check,212.0
S29576,C09802,2024-12-01,Spark Plug Replacement,451.0
S116521,C38801,2022-11-23,Oil Change,212.0
S116522,C38801,2025-07-25,Battery Replacement,340.0
S116520,C38801,2021-05-01,Clutch Replacement,286.0
S74291,C24670,2021-05-07,Major Service,126.0
S74288,C24670,2021-09-25,Major Service,150.0
S132816,C44234,2024-12-06,Coolant Flush,446.0
S132820,C44234,2021-06-11,Tire Replacement,75.0
S53892,C17894,2025-03-02,Tire Replacement,452.0
S53893,C17894,2025-07-15,Spark Plug Replacement,286.0
S66231,C22019,2024-08-29,Brake Replacement,484.0
S66229,C22019,2020-12-30,Coolant Flush,422.0
S40844,C13539,2025-06-04,Major Service,419.0
S40842,C13539,2020-11-08,Transmission Check,172.0
S129523,C43119,2021-05-18,Battery Replacement,55.0
S129520,C43119,2021-05-25,Tire Replacement,473.0
S47051,C15602,2025-05-06,Transmission Check,148.0
S134372,C44744,2020-09-18,Transmission Check,189.0
S08262,C02730,2023-06-27,Oil Change,482.0
S114826,C38243,2020-10-04,Spark Plug Replacement,317.0
S89111,C29626,2023-07-24,Air Filter Replacement,426.0
S109316,C36400,2024-01-29,Tire Replacement,146.0
S18831,C06245,2021-08-21,Coolant Flush,328.0
S18830,C06245,2025-06-28,Brake Replacement,423.0
S18829,C06245,2023-01-27,Wheel Alignment,462.0
S12234,C04065,2022-03-02,Oil Change,131.0
S123625,C41164,2024-04-29,Oil Change,159.0
S18793,C06233,2021-08-06,Spark Plug Replacement,495.0
S18792,C06233,2022-09-02,Spark Plug Replacement,435.0
S18794,C06233,2023-03-15,Brake Replacement,242.0
S11619,C03863,2024-06-15,Transmission Check,483.0
S105422,C35095,2023-12-01,Battery Replacement,324.0
S105421,C35095,2021-08-12,Transmission Check,420.0
S120659,C40196,2024-01-16,Spark Plug Replacement,196.0
S117866,C39251,2025-07-29,Brake Replacement,261.0
S117863,C39251,2024-07-20,Clutch Replacement,163.0
S18747,C06218,2023-08-29,Brake Replacement,116.0
S110405,C36776,2025-06-23,Coolant Flush,292.0
S110403,C36776,2020-11-30,Tire Replacement,145.0
S110404,C36776,2024-09-16,Oil Change,128.0
S90501,C30093,2022-06-08,Clutch Replacement,287.0
S26894,C08894,2023-10-02,Wheel Alignment,467.0
S26893,C08894,2020-12-19,Suspension Check,89.0
S46007,C15243,2022-05-10,Battery Replacement,411.0
S79954,C26551,2022-09-28,Coolant Flush,153.0
S18190,C06035,2022-02-04,Suspension Check,205.0
S18191,C06035,2022-08-13,Spark Plug Replacement,285.0
S23928,C07906,2023-07-09,Transmission Check,67.0
S23929,C07906,2024-06-06,Brake Replacement,79.0
S18136,C06018,2022-12-30,Suspension Check,50.0
S18135,C06018,2024-12-04,Battery Replacement,246.0
S18133,C06018,2023-09-30,Spark Plug Replacement,290.0
S65797,C21880,2021-02-03,Clutch Replacement,222.0
S08464,C02792,2021-12-21,Battery Replacement,369.0
S127954,C42606,2022-12-25,Major Service,326.0
S127957,C42606,2024-07-27,Major Service,235.0
S46441,C15388,2024-08-25,Coolant Flush,496.0
S46438,C15388,2022-12-09,Clutch Replacement,364.0
S46437,C15388,2021-03-04,Battery Replacement,141.0
S88920,C29562,2023-09-10,Oil Change,482.0
S88918,C29562,2024-06-16,Tire Replacement,214.0
S88921,C29562,2024-01-29,Clutch Replacement,159.0
S118496,C39476,2024-08-12,Battery Replacement,203.0
S92780,C30861,2025-06-20,Suspension Check,474.0
S92779,C30861,2022-09-20,Clutch Replacement,88.0
S92778,C30861,2025-03-11,Major Service,476.0
S65739,C21857,2021-04-18,Transmission Check,500.0
S65740,C21857,2023-01-22,Spark Plug Replacement,186.0
S47707,C15826,2021-08-29,Coolant Flush,384.0
S47706,C15826,2024-05-07,Brake Replacement,84.0
S08308,C02742,2022-03-12,Battery Replacement,157.0
S08305,C02742,2025-06-30,Clutch Replacement,239.0
S54375,C18049,2020-10-29,Coolant Flush,106.0
S54377,C18049,2022-08-03,Major Service,474.0
S54376,C18049,2024-09-07,Air Filter Replacement,391.0
S149862,C49937,2022-06-15,Suspension Check,413.0
S149861,C49937,2021-06-25,Brake Replacement,229.0
S52291,C17373,2022-07-08,Coolant Flush,156.0
S66241,C22022,2023-02-17,Battery Replacement,364.0
S139185,C46365,2023-06-05,Brake Replacement,268.0
S139184,C46365,2022-12-30,Battery Replacement,70.0
S70830,C23538,2023-09-26,Transmission Check,249.0
S136601,C45500,2022-11-20,Air Filter Replacement,460.0
S29019,C09614,2021-09-27,Battery Replacement,98.0
S29020,C09614,2022-07-27,Clutch Replacement,77.0
S29021,C09614,2023-06-08,Clutch Replacement,416.0
S130011,C43282,2025-02-09,Battery Replacement,184.0
S113748,C37892,2023-11-27,Brake Replacement,170.0
S78850,C26179,2023-08-20,Brake Replacement,204.0
S78849,C26179,2021-01-28,Tire Replacement,255.0
S137800,C45893,2021-03-18,Major Service,124.0
S63015,C20934,2025-02-18,Air Filter Replacement,181.0
S63014,C20934,2021-05-20,Tire Replacement,139.0
S123043,C40972,2024-05-20,Battery Replacement,223.0
S73436,C24382,2024-07-18,Clutch Replacement,108.0
S73432,C24382,2023-08-23,Spark Plug Replacement,478.0
S73434,C24382,2022-08-11,Air Filter Replacement,191.0
S104719,C34856,2025-07-20,Transmission Check,51.0
S104720,C34856,2025-04-17,Suspension Check,474.0
S145735,C48578,2021-10-16,Brake Replacement,113.0
S145734,C48578,2024-09-09,Coolant Flush,448.0
S115733,C38537,2025-03-09,Coolant Flush,224.0
S95476,C31756,2021-07-13,Wheel Alignment,334.0
S95477,C31756,2024-05-16,Tire Replacement,154.0
S140011,C46639,2022-10-13,Suspension Check,394.0
S140010,C46639,2022-08-22,Major Service,359.0
S140012,C46639,2021-07-28,Coolant Flush,268.0
S131626,C43835,2021-03-11,Wheel Alignment,241.0
S79020,C26236,2020-09-21,Coolant Flush,144.0
S79019,C26236,2023-05-01,Oil Change,280.0
S148827,C49597,2021-03-02,Coolant Flush,281.0
S148828,C49597,2025-05-05,Battery Replacement,153.0
S148826,C49597,2022-11-24,Major Service,306.0
S129570,C43137,2023-09-02,Wheel Alignment,302.0
S129568,C43137,2022-06-05,Clutch Replacement,64.0
S131063,C43650,2022-11-14,Suspension Check,167.0
S131062,C43650,2021-12-25,Coolant Flush,368.0
S94673,C31497,2023-01-11,Tire Replacement,349.0
S94674,C31497,2024-01-24,Major Service,445.0
S94675,C31497,2021-06-04,Transmission Check,431.0
S80090,C26594,2024-04-16,Wheel Alignment,161.0
S80089,C26594,2022-12-14,Tire Replacement,266.0
S137942,C45943,2020-12-19,Suspension Check,178.0
S137938,C45943,2025-06-09,Wheel Alignment,209.0
S145581,C48526,2022-07-25,Battery Replacement,352.0
S145579,C48526,2021-01-09,Clutch Replacement,419.0
S55237,C18316,2023-06-01,Transmission Check,494.0
S55239,C18316,2023-08-08,Transmission Check,158.0
S110745,C36894,2025-02-27,Wheel Alignment,496.0
S110746,C36894,2023-05-09,Tire Replacement,114.0
S80418,C26696,2021-03-20,Major Service,206.0
S11253,C03733,2022-10-31,Wheel Alignment,258.0
S23844,C07882,2024-03-19,Suspension Check,468.0
S23845,C07882,2022-11-22,Spark Plug Replacement,126.0
S23843,C07882,2023-01-14,Air Filter Replacement,416.0
S69295,C23030,2024-08-29,Air Filter Replacement,170.0
S69296,C23030,2025-06-20,Oil Change,272.0
S69294,C23030,2023-06-05,Spark Plug Replacement,111.0
S106590,C35474,2025-01-19,Brake Replacement,115.0
S106591,C35474,2024-07-20,Battery Replacement,112.0
S106589,C35474,2021-07-15,Clutch Replacement,390.0
S149098,C49686,2022-10-11,Clutch Replacement,325.0
S125219,C41694,2024-08-02,Transmission Check,398.0
S125218,C41694,2022-11-02,Suspension Check,106.0
S36218,C12008,2021-11-28,Clutch Replacement,491.0
S36220,C12008,2023-02-14,Spark Plug Replacement,402.0
S28712,C09507,2022-12-07,Brake Replacement,303.0
S28713,C09507,2025-05-21,Transmission Check,278.0
S134534,C44799,2024-01-12,Wheel Alignment,114.0
S93633,C31144,2024-07-08,Suspension Check,272.0
S93632,C31144,2021-07-24,Brake Replacement,86.0
S63895,C21236,2023-10-10,Battery Replacement,487.0
S04168,C01391,2020-12-12,Battery Replacement,311.0
S114852,C38250,2022-01-26,Clutch Replacement,67.0
S112933,C37625,2025-07-14,Suspension Check,124.0
S112932,C37625,2023-01-15,Spark Plug Replacement,341.0
S126219,C42029,2022-05-30,Battery Replacement,198.0
S62732,C20835,2022-12-13,Brake Replacement,279.0
S44571,C14758,2023-10-04,Major Service,361.0
S44572,C14758,2021-12-03,Spark Plug Replacement,496.0
S79489,C26397,2023-07-01,Brake Replacement,286.0
S27892,C09226,2023-01-01,Clutch Replacement,61.0
S27893,C09226,2023-10-08,Major Service,302.0
S145222,C48395,2022-02-25,Wheel Alignment,334.0
S145223,C48395,2021-07-18,Tire Replacement,203.0
S20970,C06944,2024-06-25,Suspension Check,247.0
S71810,C23871,2022-06-21,Coolant Flush,457.0
S109148,C36346,2024-10-17,Suspension Check,377.0
S32467,C10756,2022-05-01,Battery Replacement,277.0
S43325,C14344,2022-05-27,Oil Change,476.0
S43326,C14344,2022-02-18,Oil Change,86.0
S72578,C24122,2021-04-25,Tire Replacement,262.0
S72580,C24122,2022-07-04,Spark Plug Replacement,428.0
S72579,C24122,2023-09-20,Oil Change,407.0
S146460,C48810,2022-01-24,Air Filter Replacement,166.0
S146461,C48810,2022-02-17,Air Filter Replacement,76.0
S53680,C17821,2023-09-19,Major Service,383.0
S53679,C17821,2024-09-23,Major Service,185.0
S03365,C01123,2022-01-14,Brake Replacement,337.0
S136495,C45465,2024-04-18,Oil Change,206.0
S136494,C45465,2022-01-16,Spark Plug Replacement,412.0
S47200,C15657,2024-12-02,Major Service,160.0
S47199,C15657,2023-07-24,Oil Change,362.0
S05771,C01901,2024-05-14,Coolant Flush,251.0
S05773,C01901,2022-12-10,Spark Plug Replacement,420.0
S05772,C01901,2023-07-01,Clutch Replacement,94.0
S00440,C00148,2025-06-10,Transmission Check,84.0
S89166,C29643,2024-02-15,Suspension Check,274.0
S09746,C03212,2024-10-06,Brake Replacement,127.0
S131674,C43851,2024-02-26,Major Service,163.0
S131673,C43851,2025-05-27,Air Filter Replacement,320.0
S131676,C43851,2022-06-28,Suspension Check,421.0
S07126,C02355,2022-12-16,Suspension Check,130.0
S07128,C02355,2021-02-13,Battery Replacement,150.0
S07127,C02355,2025-03-05,Brake Replacement,391.0
S127895,C42584,2021-07-11,Spark Plug Replacement,474.0
S130151,C43338,2021-08-03,Suspension Check,469.0
S140994,C46957,2023-03-27,Suspension Check,85.0
S140992,C46957,2023-07-25,Oil Change,343.0
S146393,C48791,2025-06-05,Coolant Flush,349.0
S146394,C48791,2025-07-11,Spark Plug Replacement,330.0
S31581,C10466,2022-01-12,Clutch Replacement,232.0
S23661,C07822,2025-08-09,Suspension Check,235.0
S102298,C34047,2025-05-19,Brake Replacement,284.0
S102297,C34047,2022-12-21,Air Filter Replacement,296.0
S38404,C12729,2020-09-17,Suspension Check,241.0
S20914,C06926,2025-02-28,Wheel Alignment,102.0
S20913,C06926,2021-12-14,Oil Change,171.0
S84225,C27996,2025-02-20,Suspension Check,328.0
S118518,C39484,2025-03-02,Air Filter Replacement,262.0
S118517,C39484,2020-12-17,Spark Plug Replacement,405.0
S09140,C03017,2021-07-13,Coolant Flush,412.0
S26860,C08884,2022-08-11,Tire Replacement,164.0
S26862,C08884,2020-12-02,Spark Plug Replacement,447.0
S39118,C12970,2020-10-15,Air Filter Replacement,359.0
S70606,C23464,2024-08-03,Oil Change,226.0
S70607,C23464,2023-07-10,Spark Plug Replacement,271.0
S70603,C23464,2022-10-07,Suspension Check,327.0
S47500,C15758,2021-09-07,Spark Plug Replacement,496.0
S132346,C44077,2021-03-25,Major Service,223.0
S12309,C04087,2023-10-24,Air Filter Replacement,487.0
S01523,C00509,2021-11-12,Suspension Check,148.0
S01524,C00509,2023-03-24,Spark Plug Replacement,395.0
S96176,C31990,2022-09-25,Major Service,357.0
S96172,C31990,2022-09-25,Clutch Replacement,57.0
S96174,C31990,2024-01-29,Oil Change,200.0
S39192,C12996,2020-09-29,Wheel Alignment,425.0
S39193,C12996,2021-09-19,Wheel Alignment,149.0
S127651,C42502,2022-07-19,Brake Replacement,134.0
S116881,C38921,2022-09-20,Major Service,111.0
S00773,C00263,2024-10-03,Spark Plug Replacement,284.0
S56056,C18601,2023-01-17,Coolant Flush,170.0
S56057,C18601,2022-02-15,Brake Replacement,305.0
S72556,C24115,2023-04-16,Major Service,185.0
S72557,C24115,2021-05-13,Tire Replacement,90.0
S72555,C24115,2024-10-24,Battery Replacement,82.0
S40624,C13472,2022-12-27,Clutch Replacement,363.0
S95382,C31726,2025-05-22,Oil Change,87.0
S95381,C31726,2024-03-31,Oil Change,470.0
S95383,C31726,2022-02-17,Transmission Check,383.0
S19784,C06557,2022-07-30,Spark Plug Replacement,454.0
S19787,C06557,2022-07-31,Suspension Check,436.0
S136846,C45578,2024-04-14,Suspension Check,358.0
S83892,C27873,2025-03-03,Major Service,174.0
S83891,C27873,2021-03-16,Oil Change,435.0
S32642,C10811,2024-10-05,Transmission Check,282.0
S32643,C10811,2024-08-09,Coolant Flush,273.0
S114724,C38215,2021-07-22,Spark Plug Replacement,361.0
S35379,C11731,2023-09-12,Oil Change,473.0
S102401,C34080,2024-07-09,Transmission Check,71.0
S102402,C34080,2025-07-08,Transmission Check,410.0
S68956,C22916,2024-12-27,Brake Replacement,435.0
S68957,C22916,2024-01-19,Spark Plug Replacement,421.0
S68955,C22916,2025-04-16,Clutch Replacement,371.0
S24459,C08086,2021-09-05,Spark Plug Replacement,208.0
S46662,C15467,2022-10-29,Battery Replacement,467.0
S46664,C15467,2021-07-16,Oil Change,183.0
S86485,C28749,2023-10-07,Air Filter Replacement,479.0
S86484,C28749,2024-01-16,Coolant Flush,354.0
S86483,C28749,2021-04-19,Air Filter Replacement,465.0
S02132,C00709,2024-08-21,Coolant Flush,151.0
S115287,C38386,2020-12-10,Transmission Check,91.0
S115286,C38386,2025-05-18,Spark Plug Replacement,70.0
S25578,C08467,2023-06-17,Oil Change,201.0
S139169,C46359,2022-06-12,Oil Change,383.0
S139172,C46359,2025-01-18,Brake Replacement,299.0
S139170,C46359,2022-11-24,Brake Replacement,296.0
S102668,C34166,2021-11-21,Spark Plug Replacement,387.0
S17501,C05804,2021-12-28,Clutch Replacement,361.0
S17499,C05804,2022-02-20,Major Service,203.0
S38474,C12754,2024-10-14,Spark Plug Replacement,488.0
S06633,C02190,2025-02-08,Brake Replacement,315.0
S36777,C12188,2023-02-28,Brake Replacement,174.0
S36778,C12188,2024-01-31,Clutch Replacement,312.0
S95390,C31728,2021-04-22,Coolant Flush,248.0
S113678,C37867,2021-07-01,Spark Plug Replacement,347.0
S113677,C37867,2025-06-21,Brake Replacement,317.0
S130676,C43515,2022-01-05,Major Service,298.0
S130677,C43515,2023-06-22,Transmission Check,101.0
S26380,C08719,2025-01-31,Spark Plug Replacement,225.0
S73700,C24469,2023-12-01,Battery Replacement,353.0
S73697,C24469,2023-03-17,Clutch Replacement,189.0
S73698,C24469,2024-07-15,Transmission Check,299.0
S21761,C07202,2021-02-22,Oil Change,234.0
S21759,C07202,2022-05-09,Battery Replacement,147.0
S21762,C07202,2024-07-20,Air Filter Replacement,157.0
S80775,C26821,2021-11-30,Wheel Alignment,266.0
S80778,C26821,2020-09-02,Tire Replacement,201.0
S80779,C26821,2021-06-05,Battery Replacement,457.0
S82412,C27374,2022-10-25,Major Service,226.0
S82410,C27374,2025-02-01,Spark Plug Replacement,175.0
S82411,C27374,2025-02-08,Major Service,321.0
S137034,C45638,2024-01-26,Coolant Flush,264.0
S137032,C45638,2021-10-28,Battery Replacement,218.0
S88269,C29340,2024-06-06,Wheel Alignment,252.0
S88270,C29340,2020-12-07,Clutch Replacement,475.0
S139717,C46548,2022-02-22,Air Filter Replacement,112.0
S139718,C46548,2021-03-28,Suspension Check,391.0
S139716,C46548,2023-10-13,Major Service,117.0
S90329,C30033,2020-10-01,Spark Plug Replacement,219.0
S15744,C05223,2021-02-04,Oil Change,415.0
S15746,C05223,2022-11-26,Brake Replacement,199.0
S15745,C05223,2023-06-15,Suspension Check,497.0
S01972,C00660,2023-10-20,Battery Replacement,219.0
S01970,C00660,2023-05-19,Battery Replacement,241.0
S17679,C05866,2020-10-18,Battery Replacement,498.0
S146652,C48872,2023-05-24,Transmission Check,311.0
S69166,C22986,2024-02-02,Coolant Flush,86.0
S69167,C22986,2022-08-07,Suspension Check,365.0
S86890,C28881,2022-11-02,Spark Plug Replacement,342.0
S86889,C28881,2024-05-02,Major Service,205.0
S86888,C28881,2024-01-01,Clutch Replacement,325.0
S29119,C09648,2025-06-19,Coolant Flush,134.0
S29121,C09648,2022-05-14,Transmission Check,384.0
S148651,C49546,2023-03-22,Wheel Alignment,475.0
S78787,C26159,2025-02-17,Transmission Check,472.0
S78789,C26159,2022-03-09,Tire Replacement,362.0
S35315,C11712,2023-04-20,Tire Replacement,289.0
S35314,C11712,2025-01-28,Suspension Check,353.0
S35313,C11712,2023-08-27,Suspension Check,114.0
S82001,C27239,2022-02-26,Suspension Check,239.0
S82004,C27239,2021-11-12,Transmission Check,69.0
S82003,C27239,2023-09-25,Air Filter Replacement,77.0
S55340,C18354,2021-03-31,Wheel Alignment,462.0
S55339,C18354,2024-10-22,Major Service,53.0
S124294,C41390,2021-06-13,Clutch Replacement,431.0
S124296,C41390,2022-01-21,Brake Replacement,113.0
S124295,C41390,2023-03-06,Major Service,418.0
S14401,C04773,2020-11-27,Coolant Flush,123.0
S105752,C35205,2023-05-31,Air Filter Replacement,416.0
S105753,C35205,2022-04-29,Brake Replacement,313.0
S105750,C35205,2024-09-01,Major Service,466.0
S17703,C05875,2023-05-06,Transmission Check,208.0
S53638,C17805,2021-02-23,Clutch Replacement,168.0
S53639,C17805,2023-10-08,Spark Plug Replacement,62.0
S23719,C07842,2023-12-26,Tire Replacement,449.0
S23718,C07842,2024-04-09,Clutch Replacement,73.0
S48000,C15923,2023-01-26,Coolant Flush,454.0
S48001,C15923,2025-07-08,Coolant Flush,377.0
S85341,C28367,2022-05-29,Transmission Check,102.0
S36423,C12084,2022-07-03,Brake Replacement,392.0
S60272,C20034,2024-09-01,Battery Replacement,288.0
S60271,C20034,2021-10-21,Wheel Alignment,101.0
S43757,C14488,2024-10-05,Battery Replacement,109.0
S43756,C14488,2022-04-02,Air Filter Replacement,65.0
S112623,C37518,2022-05-22,Coolant Flush,200.0
S132828,C44236,2025-02-06,Transmission Check,155.0
S145967,C48651,2021-12-12,Major Service,54.0
S145965,C48651,2020-10-11,Brake Replacement,220.0
S63419,C21070,2021-07-19,Suspension Check,337.0
S63420,C21070,2022-12-09,Suspension Check,271.0
S28759,C09524,2022-07-06,Battery Replacement,368.0
S28763,C09524,2020-09-02,Wheel Alignment,391.0
S28761,C09524,2023-05-03,Transmission Check,347.0
S36337,C12054,2021-11-17,Tire Replacement,282.0
S24333,C08038,2023-04-30,Spark Plug Replacement,142.0
S141057,C46977,2025-07-03,Tire Replacement,476.0
S141059,C46977,2022-04-01,Oil Change,479.0
S141056,C46977,2024-06-30,Wheel Alignment,391.0
S49410,C16400,2022-08-17,Suspension Check,436.0
S137484,C45786,2025-07-31,Spark Plug Replacement,461.0
S137485,C45786,2022-09-14,Spark Plug Replacement,281.0
S23038,C07625,2024-12-21,Suspension Check,148.0
S23037,C07625,2025-06-24,Oil Change,348.0
S113273,C37737,2023-06-22,Air Filter Replacement,313.0
S113272,C37737,2023-05-20,Transmission Check,481.0
S40027,C13268,2022-11-30,Coolant Flush,122.0
S40023,C13268,2021-07-15,Suspension Check,64.0
S54489,C18083,2025-04-09,Wheel Alignment,343.0
S144320,C48086,2021-01-13,Coolant Flush,67.0
S128447,C42768,2025-06-03,Coolant Flush,229.0
S12254,C04071,2020-10-24,Clutch Replacement,340.0
S12256,C04071,2022-06-09,Tire Replacement,466.0
S12257,C04071,2025-05-02,Oil Change,313.0
