CarID,Manufacturer,Model,Engine size,Features,Fuel_Type,Year_of_Manufacturing,Mileage,Price,DealerName,DealerCity,Latitude,Longitude,ServiceID,Date_of_Service,ServiceType,Cost_of_Service,AccidentID,Date_of_Accident,Description,Cost_of_Repair,Severity
C42725,Toyota,Prius,1.8,Cruise Control,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64339,13/03/2025,Minor fender bender,3433,Severe
C42725,Toyota,Prius,1.8,Heated Seats,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64339,13/03/2025,Minor fender bender,3433,Severe
C42725,Toyota,Prius,1.8,Navigation,Hybrid,2008,116195,12110,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S128315,21/02/2025,Air Filter Replacement,232,A64339,13/03/2025,Minor fender bender,3433,Severe
C10823,VW,Polo,2,Cruise Control,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32674,09/12/2022,Suspension Check,114,A16316,18/02/2021,Front-end collision,1675,Major
C10823,VW,Polo,2,Bluetooth,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32674,09/12/2022,Suspension Check,114,A16316,18/02/2021,Front-end collision,1675,Major
C10823,VW,Polo,2,Cruise Control,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32674,09/12/2022,Suspension Check,114,A16317,30/05/2021,Front-end collision,3067,Moderate
C10823,VW,Polo,2,Bluetooth,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32674,09/12/2022,Suspension Check,114,A16317,30/05/2021,Front-end collision,3067,Moderate
C10823,VW,Polo,2,Cruise Control,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32673,01/06/2022,Wheel Alignment,216,A16316,18/02/2021,Front-end collision,1675,Major
C10823,VW,Polo,2,Bluetooth,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32673,01/06/2022,Wheel Alignment,216,A16316,18/02/2021,Front-end collision,1675,Major
C10823,VW,Polo,2,Cruise Control,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32673,01/06/2022,Wheel Alignment,216,A16317,30/05/2021,Front-end collision,3067,Moderate
C10823,VW,Polo,2,Bluetooth,Petrol,1997,187190,1948,"Wagner, Cobb and Jenkins",Newcastle upon Tyne,53.290375,0.750833,S32673,01/06/2022,Wheel Alignment,216,A16317,30/05/2021,Front-end collision,3067,Moderate
C49499,Toyota,RAV4,2,Air Conditioning,Hybrid,2004,111729,11887,Warner-Payne,Cambridge,52.771701,-1.344061,,,,,,,,,
C49499,Toyota,RAV4,2,Navigation,Hybrid,2004,111729,11887,Warner-Payne,Cambridge,52.771701,-1.344061,,,,,,,,,
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12470,18/02/2021,Air Filter Replacement,290,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12470,18/02/2021,Air Filter Replacement,290,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12470,18/02/2021,Air Filter Replacement,290,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12470,18/02/2021,Air Filter Replacement,290,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12469,26/09/2022,Air Filter Replacement,123,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12469,26/09/2022,Air Filter Replacement,123,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12469,26/09/2022,Air Filter Replacement,123,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12469,26/09/2022,Air Filter Replacement,123,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12473,12/10/2020,Spark Plug Replacement,87,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12473,12/10/2020,Spark Plug Replacement,87,A06156,23/10/2022,Fender scratch from curb,2217,Moderate
C04145,VW,Golf,1.6,Heated Seats,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12473,12/10/2020,Spark Plug Replacement,87,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C04145,VW,Golf,1.6,Air Conditioning,Petrol,2005,120820,6083,Brown Group,Bradford,53.35685,-2.446912,S12473,12/10/2020,Spark Plug Replacement,87,A06157,29/01/2025,Rear quarter panel dent,3514,Minor
C36959,Toyota,Yaris,1.4,Air Conditioning,Petrol,2001,93427,5081,"Simmons, Fields and Wolf",London,53.233183,0.055345,S110934,20/08/2025,Major Service,59,,,,,
C36959,Toyota,Yaris,1.4,Heated Seats,Petrol,2001,93427,5081,"Simmons, Fields and Wolf",London,53.233183,0.055345,S110934,20/08/2025,Major Service,59,,,,,
C36959,Toyota,Yaris,1.4,Navigation,Petrol,2001,93427,5081,"Simmons, Fields and Wolf",London,53.233183,0.055345,S110934,20/08/2025,Major Service,59,,,,,
C43107,Toyota,RAV4,2,Sunroof,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129482,30/07/2022,Oil Change,257,A64895,19/02/2023,Parking lot scrape,2135,Minor
C43107,Toyota,RAV4,2,Heated Seats,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129482,30/07/2022,Oil Change,257,A64895,19/02/2023,Parking lot scrape,2135,Minor
C43107,Toyota,RAV4,2,Sunroof,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129484,04/04/2025,Suspension Check,102,A64895,19/02/2023,Parking lot scrape,2135,Minor
C43107,Toyota,RAV4,2,Heated Seats,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129484,04/04/2025,Suspension Check,102,A64895,19/02/2023,Parking lot scrape,2135,Minor
C43107,Toyota,RAV4,2,Sunroof,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129483,11/06/2024,Brake Replacement,352,A64895,19/02/2023,Parking lot scrape,2135,Minor
C43107,Toyota,RAV4,2,Heated Seats,Hybrid,1999,141271,6765,Mclean-Miller,Bath,54.735096,-2.81676,S129483,11/06/2024,Brake Replacement,352,A64895,19/02/2023,Parking lot scrape,2135,Minor
C38696,Ford,Mondeo,1.4,Navigation,Diesel,1999,134793,4235,Smith LLC,Chelmsford,53.511326,-2.379689,S116209,03/09/2020,Wheel Alignment,328,A58169,03/04/2023,Side swipe from passing vehicle,3118,Moderate
C38696,Ford,Mondeo,1.4,Navigation,Diesel,1999,134793,4235,Smith LLC,Chelmsford,53.511326,-2.379689,S116212,16/04/2023,Tire Replacement,496,A58169,03/04/2023,Side swipe from passing vehicle,3118,Moderate
C06189,VW,Passat,1.8,Navigation,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09255,23/07/2023,Side panel scratch,1425,Major
C06189,VW,Passat,1.8,Cruise Control,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09255,23/07/2023,Side panel scratch,1425,Major
C06189,VW,Passat,1.8,Air Conditioning,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09255,23/07/2023,Side panel scratch,1425,Major
C06189,VW,Passat,1.8,Navigation,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09256,24/01/2022,Side swipe from passing vehicle,3348,Moderate
C06189,VW,Passat,1.8,Cruise Control,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09256,24/01/2022,Side swipe from passing vehicle,3348,Moderate
C06189,VW,Passat,1.8,Air Conditioning,Diesel,1996,103099,5296,Carr-Shaw,Woking,50.712268,-0.750035,,,,,A09256,24/01/2022,Side swipe from passing vehicle,3348,Moderate
C01415,VW,Golf,1.2,Sunroof,Petrol,1989,121692,1801,"Simmons, Fields and Wolf",London,53.233183,0.055345,S04234,02/02/2021,Wheel Alignment,479,A02031,28/07/2023,Scratched paint on rear bumper,3895,Major
C01415,VW,Golf,1.2,Sunroof,Petrol,1989,121692,1801,"Simmons, Fields and Wolf",London,53.233183,0.055345,S04234,02/02/2021,Wheel Alignment,479,A02032,24/03/2022,Fender scratch from curb,2375,Severe
C01415,VW,Golf,1.2,Sunroof,Petrol,1989,121692,1801,"Simmons, Fields and Wolf",London,53.233183,0.055345,S04233,12/08/2021,Tire Replacement,247,A02031,28/07/2023,Scratched paint on rear bumper,3895,Major
C01415,VW,Golf,1.2,Sunroof,Petrol,1989,121692,1801,"Simmons, Fields and Wolf",London,53.233183,0.055345,S04233,12/08/2021,Tire Replacement,247,A02032,24/03/2022,Fender scratch from curb,2375,Severe
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55687,07/04/2024,Major Service,157,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27739,20/02/2025,Scratched paint on rear bumper,4916,Major
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27740,28/10/2024,Door dent from tight parking,649,Minor
C18472,Toyota,Prius,1,Heated Seats,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Air Conditioning,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Bluetooth,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27741,17/02/2025,Front bumper scrape,3853,Major
C18472,Toyota,Prius,1,Cruise Control,Hybrid,2020,17010,38572,Cruz-Castro,Wolverhampton,51.880035,-2.303019,S55686,23/06/2025,Battery Replacement,283,A27741,17/02/2025,Front bumper scrape,3853,Major
C29283,VW,Golf,2,Air Conditioning,Petrol,2017,47438,25244,Smith Ltd,Exeter,52.362571,-0.749279,S88098,12/06/2024,Brake Replacement,417,A44011,07/06/2021,Rear quarter panel dent,824,Moderate
C29283,VW,Golf,2,Air Conditioning,Petrol,2017,47438,25244,Smith Ltd,Exeter,52.362571,-0.749279,S88099,14/04/2025,Spark Plug Replacement,363,A44011,07/06/2021,Rear quarter panel dent,824,Moderate
C15178,Toyota,RAV4,2.2,Air Conditioning,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Cruise Control,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Heated Seats,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Air Conditioning,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C15178,Toyota,RAV4,2.2,Cruise Control,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C15178,Toyota,RAV4,2.2,Heated Seats,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45798,30/10/2024,Brake Replacement,293,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C15178,Toyota,RAV4,2.2,Air Conditioning,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Cruise Control,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Heated Seats,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22866,06/12/2023,Accident on slippery road,821,Severe
C15178,Toyota,RAV4,2.2,Air Conditioning,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C15178,Toyota,RAV4,2.2,Cruise Control,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C15178,Toyota,RAV4,2.2,Heated Seats,Hybrid,2007,69317,20591,"Bailey, Grant and Carter",Sunderland,50.747838,-2.092458,S45800,25/09/2023,Tire Replacement,296,A22867,06/08/2024,Accident on slippery road,2745,Moderate
C34305,Toyota,Prius,1.4,Sunroof,Hybrid,2013,63590,21651,Warner-Payne,Cambridge,52.771701,-1.344061,,,,,A51537,08/01/2021,Side mirror broken,3119,Major
C12610,VW,Passat,2,Bluetooth,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38040,28/05/2022,Major Service,435,A19033,14/01/2025,Accident on slippery road,2461,Major
C12610,VW,Passat,2,Cruise Control,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38040,28/05/2022,Major Service,435,A19033,14/01/2025,Accident on slippery road,2461,Major
C12610,VW,Passat,2,Bluetooth,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38039,03/04/2022,Transmission Check,247,A19033,14/01/2025,Accident on slippery road,2461,Major
C12610,VW,Passat,2,Cruise Control,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38039,03/04/2022,Transmission Check,247,A19033,14/01/2025,Accident on slippery road,2461,Major
C12610,VW,Passat,2,Bluetooth,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38038,20/09/2024,Battery Replacement,379,A19033,14/01/2025,Accident on slippery road,2461,Major
C12610,VW,Passat,2,Cruise Control,Diesel,2004,103927,9459,Vasquez-Murphy,Watford,51.343937,0.610865,S38038,20/09/2024,Battery Replacement,379,A19033,14/01/2025,Accident on slippery road,2461,Major
C12145,Ford,Mondeo,1.8,Sunroof,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36630,29/07/2024,Transmission Check,106,,,,,
C12145,Ford,Mondeo,1.8,Bluetooth,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36630,29/07/2024,Transmission Check,106,,,,,
C12145,Ford,Mondeo,1.8,Navigation,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36630,29/07/2024,Transmission Check,106,,,,,
C12145,Ford,Mondeo,1.8,Heated Seats,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36630,29/07/2024,Transmission Check,106,,,,,
C12145,Ford,Mondeo,1.8,Sunroof,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36629,05/07/2023,Wheel Alignment,169,,,,,
C12145,Ford,Mondeo,1.8,Bluetooth,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36629,05/07/2023,Wheel Alignment,169,,,,,
C12145,Ford,Mondeo,1.8,Navigation,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36629,05/07/2023,Wheel Alignment,169,,,,,
C12145,Ford,Mondeo,1.8,Heated Seats,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36629,05/07/2023,Wheel Alignment,169,,,,,
C12145,Ford,Mondeo,1.8,Sunroof,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36631,15/06/2025,Spark Plug Replacement,68,,,,,
C12145,Ford,Mondeo,1.8,Bluetooth,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36631,15/06/2025,Spark Plug Replacement,68,,,,,
C12145,Ford,Mondeo,1.8,Navigation,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36631,15/06/2025,Spark Plug Replacement,68,,,,,
C12145,Ford,Mondeo,1.8,Heated Seats,Diesel,2001,222751,2589,Ingram-Mitchell,Durham,54.966148,-2.512489,S36631,15/06/2025,Spark Plug Replacement,68,,,,,
C06114,Ford,Focus,2,Cruise Control,Petrol,2002,39712,11587,Johnson-Turner,Milton Keynes,52.018756,0.17948,S18437,10/11/2021,Air Filter Replacement,241,A09141,15/05/2023,Rear-end hit at traffic light,1618,Severe
C06114,Ford,Focus,2,Heated Seats,Petrol,2002,39712,11587,Johnson-Turner,Milton Keynes,52.018756,0.17948,S18437,10/11/2021,Air Filter Replacement,241,A09141,15/05/2023,Rear-end hit at traffic light,1618,Severe
