car_id,manufacturer,model,engine_size,fuel_type,year_of_manufacturing,mileage,price,features,dealer_id
C06114,Ford,Focus,2.0,Petrol,2002,39712,11587,"Cruise Control, Heated Seats, Navigation",D00016
C15909,Toyota,Yaris,1.0,Petrol,2003,80459,5376,Heated Seats,D00003
C00822,VW,Polo,1.0,Petrol,1995,168060,1420,"Air Conditioning, Navigation",D00017
C15119,Ford,Fiesta,1.2,Petrol,1994,102413,2386,"Cruise Control, Heated Seats",D00018
C13467,Ford,Mondeo,1.8,Diesel,1999,120608,5366,"Cruise Control, Sunroof",D00019
C26498,VW,Passat,1.4,Diesel,1998,125434,4506,Bluetooth,D00020
C42112,BMW,Z4,2.4,Petrol,2005,172021,6462,"Air Conditioning, Bluetooth, Heated Seats, Sunroof",D00001
C30189,VW,Golf,1.8,Diesel,2013,28330,21573,"Air Conditioning, Heated Seats, Navigation",D00021
C37238,Toyota,RAV4,1.8,Hybrid,2006,121540,11957,Sunroof,D00005
C33110,VW,Polo,1.2,Petrol,2020,25702,22880,"Air Conditioning, Navigation",D00022
C36481,Ford,Mondeo,1.6,Diesel,2001,117716,5910,"Air Conditioning, Bluetooth, Heated Seats",D00023
C24149,Ford,Fiesta,1.0,Petrol,2015,79169,10426,Cruise Control,D00018
C05504,Toyota,RAV4,1.8,Petrol,1995,178581,3004,"Heated Seats, Navigation",D00024
C03919,VW,Golf,1.6,Petrol,2001,136293,4127,"Bluetooth, Navigation, Sunroof",D00025
C38479,Ford,Focus,1.4,Petrol,2012,86919,13876,"Cruise Control, Heated Seats, Navigation, Sunroof",D00011
C21124,Ford,Mondeo,1.8,Hybrid,2001,48482,11592,Air Conditioning,D00009
C49718,VW,Polo,1.4,Petrol,2016,30900,18376,"Bluetooth, Cruise Control, Heated Seats",D00026
C42295,Ford,Focus,1.8,Petrol,1990,119469,2855,"Bluetooth, Cruise Control",D00027
C47610,VW,Passat,1.8,Diesel,2021,10523,50532,Air Conditioning,D00011
C11077,VW,Passat,1.8,Diesel,2004,152139,6156,"Bluetooth, Heated Seats, Sunroof",D00012
C41515,BMW,X3,2.0,Diesel,2006,54504,16805,Sunroof,D00014
C22063,VW,Golf,1.6,Petrol,2005,63240,9177,Bluetooth,D00028
C09414,VW,Golf,1.4,Petrol,1988,226696,747,"Cruise Control, Navigation, Sunroof",D00007
C38341,VW,Passat,2.0,Petrol,2001,133436,5883,Heated Seats,D00027
C30264,Porsche,Cayenne,3.5,Diesel,2016,54760,58952,"Bluetooth, Cruise Control, Heated Seats, Navigation",D00029
C41253,Ford,Mondeo,1.6,Diesel,2008,68737,13389,"Air Conditioning, Sunroof",D00025
C14645,VW,Passat,1.8,Petrol,2015,47828,26058,"Air Conditioning, Bluetooth, Cruise Control, Navigation",D00028
C26336,Toyota,Prius,1.0,Hybrid,1992,202267,1523,"Cruise Control, Heated Seats, Sunroof",D00030
C28103,Ford,Mondeo,1.6,Diesel,1998,183360,2831,Cruise Control,D00031
C17524,Porsche,Cayenne,4.0,Petrol,2006,92627,23857,"Bluetooth, Cruise Control, Heated Seats, Navigation",D00015
C24713,Ford,Focus,1.6,Hybrid,2021,11987,51610,"Air Conditioning, Bluetooth, Cruise Control, Navigation",D00019
C40486,Ford,Mondeo,2.0,Diesel,2014,61295,23451,Bluetooth,D00018
C03851,Toyota,Prius,1.0,Hybrid,1994,112795,3642,"Air Conditioning, Cruise Control, Heated Seats, Sunroof",D00032
C40041,VW,Polo,1.6,Petrol,1995,189526,1494,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00013
C15268,Ford,Focus,1.6,Diesel,2003,61546,10151,"Bluetooth, Heated Seats",D00033
C49147,BMW,M5,4.4,Petrol,1998,175373,9616,"Air Conditioning, Cruise Control, Navigation",D00034
C30002,Ford,Focus,1.8,Petrol,2002,128295,5935,"Air Conditioning, Heated Seats, Navigation, Sunroof",D00022
C45927,Ford,Fiesta,1.4,Petrol,2002,126595,3658,"Cruise Control, Heated Seats, Navigation, Sunroof",D00035
C43825,Ford,Mondeo,1.6,Diesel,1998,115774,4911,Bluetooth,D00010
C17241,BMW,M5,5.0,Petrol,2002,111256,22436,"Cruise Control, Heated Seats, Navigation",D00033
C04893,Ford,Mondeo,1.8,Diesel,2006,134337,7687,"Bluetooth, Sunroof",D00013
C00726,VW,Polo,1.4,Petrol,1986,260477,404,"Bluetooth, Navigation, Sunroof",D00036
C22950,VW,Polo,1.2,Petrol,2020,18048,23872,"Bluetooth, Cruise Control, Heated Seats, Sunroof",D00015
C34658,Ford,Focus,1.4,Diesel,2015,27281,26036,"Air Conditioning, Cruise Control, Sunroof",D00037
C37214,VW,Polo,1.2,Petrol,2001,100417,3963,Sunroof,D00017
C20305,Ford,Focus,2.0,Diesel,2003,96636,8916,"Cruise Control, Sunroof",D00027
C15270,Toyota,Yaris,1.4,Petrol,1991,205293,1052,Navigation,D00001
C22368,Toyota,RAV4,2.4,Hybrid,2006,78198,18946,"Air Conditioning, Navigation",D00038
C42685,Ford,Mondeo,1.8,Petrol,2018,20250,35392,Navigation,D00002
C46735,VW,Golf,1.2,Petrol,2016,32228,20035,Cruise Control,D00039
C11733,VW,Polo,1.4,Petrol,2018,30622,21030,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00040
C18620,VW,Polo,2.0,Petrol,2017,28811,23761,Heated Seats,D00035
C48493,BMW,M5,5.0,Petrol,2014,47726,77284,"Cruise Control, Heated Seats, Navigation, Sunroof",D00020
C26804,Ford,Mondeo,1.6,Petrol,1993,101956,3716,"Air Conditioning, Heated Seats, Sunroof",D00041
C44306,VW,Golf,1.6,Petrol,1992,97933,3035,"Air Conditioning, Cruise Control, Heated Seats",D00006
C47523,VW,Passat,1.4,Diesel,2008,90039,11427,Sunroof,D00026
C32208,Toyota,Yaris,1.4,Hybrid,1995,153954,2559,"Air Conditioning, Navigation",D00003
C02531,Ford,Fiesta,1.2,Petrol,2001,169486,2234,"Cruise Control, Heated Seats, Sunroof",D00008
C17747,VW,Golf,1.6,Diesel,1984,132809,1434,"Air Conditioning, Navigation",D00033
C08271,VW,Golf,2.0,Petrol,1991,186523,1559,"Bluetooth, Heated Seats, Navigation, Sunroof",D00014
C15080,BMW,Z4,3.0,Petrol,2007,72391,17754,"Air Conditioning, Bluetooth, Cruise Control, Navigation",D00025
C13625,Toyota,Prius,1.4,Hybrid,1989,235879,1090,"Air Conditioning, Heated Seats, Sunroof",D00027
C30639,Toyota,Yaris,1.2,Petrol,2012,64730,11931,"Air Conditioning, Bluetooth, Navigation",D00032
C30441,Toyota,Prius,1.4,Hybrid,1997,131620,4551,"Air Conditioning, Sunroof",D00023
C36057,VW,Passat,1.8,Diesel,1995,184914,2562,Sunroof,D00031
C42652,Toyota,RAV4,2.2,Hybrid,2013,76610,29243,"Air Conditioning, Bluetooth, Cruise Control",D00039
C36804,VW,Passat,2.0,Petrol,2015,31043,30364,Navigation,D00018
C48225,Toyota,Prius,1.4,Hybrid,1996,99271,5444,"Cruise Control, Heated Seats, Sunroof",D00013
C29227,BMW,Z4,2.0,Petrol,2000,129137,6002,Heated Seats,D00042
C05634,Ford,Fiesta,1.2,Petrol,2017,15811,19276,"Air Conditioning, Bluetooth, Navigation, Sunroof",D00017
C05988,Toyota,Prius,1.4,Hybrid,2021,7229,51382,"Air Conditioning, Heated Seats, Sunroof",D00006
C48064,Ford,Mondeo,1.6,Diesel,2018,29353,33290,Sunroof,D00040
C01813,Toyota,RAV4,2.0,Hybrid,2018,46665,47262,"Air Conditioning, Sunroof",D00012
C27579,Toyota,Prius,1.8,Hybrid,1994,230780,1808,"Heated Seats, Sunroof",D00018
C16824,Ford,Fiesta,1.0,Petrol,2000,123811,2764,Sunroof,D00006
C03929,Toyota,Yaris,1.4,Petrol,2002,91399,5511,"Navigation, Sunroof",D00009
C37287,Toyota,Prius,1.4,Hybrid,1990,244406,1078,"Air Conditioning, Cruise Control, Sunroof",D00024
C25046,Ford,Mondeo,1.4,Diesel,2013,47829,19989,"Cruise Control, Sunroof",D00043
C15728,Ford,Mondeo,1.8,Diesel,1996,85687,5682,"Cruise Control, Heated Seats, Navigation, Sunroof",D00044
C29601,BMW,X3,2.0,Diesel,1990,212400,1682,"Air Conditioning, Heated Seats, Sunroof",D00035
C10431,Ford,Fiesta,1.4,Petrol,1988,92266,1860,"Cruise Control, Heated Seats",D00045
C25769,Ford,Fiesta,1.4,Petrol,2017,30751,19155,"Air Conditioning, Bluetooth, Sunroof",D00046
C29104,Toyota,Yaris,1.4,Hybrid,2005,169013,4396,Bluetooth,D00030
C36538,VW,Golf,1.2,Petrol,2018,13452,25416,"Air Conditioning, Bluetooth, Cruise Control, Navigation",D00022
C39329,VW,Golf,1.4,Petrol,2016,45075,20047,"Bluetooth, Navigation, Sunroof",D00035
C35540,VW,Golf,1.8,Diesel,2007,122490,7642,"Bluetooth, Cruise Control, Sunroof",D00041
C28076,Ford,Fiesta,1.2,Petrol,2015,68890,12244,"Air Conditioning, Bluetooth, Cruise Control",D00010
C17841,Toyota,Yaris,1.2,Petrol,2011,93557,9154,"Bluetooth, Cruise Control, Heated Seats, Sunroof",D00047
C27803,BMW,M5,4.4,Petrol,1997,209267,6694,"Air Conditioning, Heated Seats",D00033
C07683,VW,Golf,1.4,Petrol,1999,114939,3990,"Air Conditioning, Bluetooth, Navigation, Sunroof",D00046
C24280,Ford,Mondeo,1.6,Diesel,2020,6881,42995,Heated Seats,D00033
C33071,Toyota,RAV4,1.8,Hybrid,2002,99708,10790,"Cruise Control, Heated Seats, Navigation, Sunroof",D00008
C35558,Ford,Focus,1.6,Hybrid,1992,137762,3198,"Navigation, Sunroof",D00005
C37190,BMW,X3,2.0,Diesel,1994,143418,3959,Navigation,D00031
C47150,BMW,Z4,2.2,Petrol,2014,40717,29670,"Bluetooth, Heated Seats, Navigation, Sunroof",D00037
C46916,VW,Polo,2.0,Petrol,1995,128433,2773,"Bluetooth, Heated Seats",D00033
C09802,VW,Passat,2.0,Diesel,2008,114738,11389,"Cruise Control, Navigation",D00018
C38801,Ford,Mondeo,1.4,Diesel,2019,32123,32759,Air Conditioning,D00006
C24670,Ford,Mondeo,1.6,Diesel,2012,93662,14710,"Bluetooth, Cruise Control, Heated Seats",D00029
C44234,VW,Polo,1.4,Petrol,1994,225404,951,"Air Conditioning, Cruise Control, Navigation",D00039
C31920,VW,Golf,1.2,Diesel,1994,172758,1743,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00037
C07135,BMW,Z4,2.4,Petrol,1998,55213,9751,Heated Seats,D00023
C33705,Ford,Fiesta,1.0,Petrol,2006,43125,7227,"Air Conditioning, Navigation, Sunroof",D00031
C29661,Porsche,Cayenne,2.6,Petrol,2011,106875,24190,"Cruise Control, Navigation, Sunroof",D00025
C17894,Ford,Fiesta,1.4,Diesel,2013,31415,15346,Navigation,D00037
C22019,Toyota,RAV4,2.2,Hybrid,2012,68319,28928,Sunroof,D00009
C13539,Toyota,RAV4,2.2,Hybrid,2001,105667,10681,"Cruise Control, Heated Seats",D00015
C43119,Toyota,RAV4,1.8,Petrol,2002,129607,7167,"Cruise Control, Heated Seats, Navigation",D00008
C36421,Ford,Mondeo,1.4,Diesel,2008,97983,10215,"Air Conditioning, Bluetooth, Heated Seats, Sunroof",D00021
C09406,VW,Golf,1.8,Petrol,1999,157206,3233,"Air Conditioning, Bluetooth, Navigation",D00046
C13414,BMW,X3,2.4,Diesel,2000,125944,7433,"Air Conditioning, Sunroof",D00019
C06721,Ford,Fiesta,1.0,Petrol,1999,148127,2131,"Navigation, Sunroof",D00036
C15602,Ford,Focus,1.6,Petrol,1999,160246,3538,"Bluetooth, Navigation, Sunroof",D00043
C44744,VW,Passat,1.4,Diesel,1987,275816,581,"Cruise Control, Navigation",D00023
C31139,VW,Golf,1.8,Petrol,1996,183463,2119,Bluetooth,D00016
C02730,Toyota,Prius,1.4,Hybrid,2017,25793,35593,Air Conditioning,D00007
C38243,Ford,Fiesta,1.2,Petrol,2017,53467,15462,"Air Conditioning, Bluetooth, Cruise Control, Sunroof",D00022
C29626,VW,Polo,1.6,Diesel,2009,64083,10542,"Air Conditioning, Cruise Control, Heated Seats, Sunroof",D00040
C47895,VW,Passat,2.0,Diesel,1998,112238,5959,"Air Conditioning, Cruise Control",D00019
C42091,Porsche,911,3.0,Petrol,2020,11852,129795,"Bluetooth, Heated Seats, Sunroof",D00032
C36400,Ford,Focus,1.8,Diesel,1987,217598,1076,"Air Conditioning, Cruise Control, Heated Seats",D00033
C06245,VW,Passat,1.4,Petrol,2017,20443,30816,"Bluetooth, Navigation",D00041
C05546,Ford,Focus,1.8,Diesel,2005,80643,10823,Air Conditioning,D00033
C04065,VW,Passat,1.8,Petrol,2010,73959,15765,"Bluetooth, Cruise Control, Heated Seats, Navigation",D00046
C12852,VW,Polo,1.2,Petrol,1996,173917,1582,Bluetooth,D00041
C21803,Toyota,Yaris,1.0,Hybrid,1996,178921,1874,Air Conditioning,D00009
C41164,VW,Polo,1.4,Diesel,2001,202260,1959,"Cruise Control, Navigation",D00036
C06233,Toyota,Yaris,1.0,Hybrid,2017,18602,24082,"Air Conditioning, Heated Seats, Navigation, Sunroof",D00021
C03863,VW,Polo,2.0,Petrol,2018,30228,25193,"Navigation, Sunroof",D00018
C35095,Toyota,RAV4,2.2,Petrol,2007,130722,10962,"Air Conditioning, Heated Seats, Navigation, Sunroof",D00038
C40196,Ford,Fiesta,1.0,Petrol,1986,81971,1479,"Cruise Control, Heated Seats, Sunroof",D00007
C39251,VW,Passat,1.6,Diesel,2008,121191,9696,Air Conditioning,D00030
C06218,VW,Passat,2.0,Diesel,2014,58023,25305,Bluetooth,D00048
C36776,Ford,Mondeo,1.8,Hybrid,1991,161237,2596,"Air Conditioning, Cruise Control, Navigation, Sunroof",D00021
C42977,VW,Passat,2.0,Petrol,2005,142054,7171,Air Conditioning,D00009
C48468,BMW,M5,4.0,Petrol,2016,37881,83835,"Cruise Control, Heated Seats, Navigation",D00044
C14832,Toyota,Yaris,1.0,Petrol,2014,72966,11781,"Bluetooth, Cruise Control, Navigation",D00010
C30093,Ford,Fiesta,1.2,Petrol,2007,73777,6951,Sunroof,D00037
C08894,VW,Golf,1.4,Petrol,2010,144461,6589,"Air Conditioning, Cruise Control, Navigation, Sunroof",D00013
C06021,BMW,X3,3.0,Diesel,1989,175325,2665,Cruise Control,D00038
C46089,Ford,Mondeo,2.0,Diesel,2017,36239,33452,"Air Conditioning, Cruise Control, Sunroof",D00035
C15243,Ford,Fiesta,1.4,Petrol,2022,4158,30891,Sunroof,D00036
C45308,Ford,Mondeo,2.0,Diesel,1994,236713,1507,"Bluetooth, Heated Seats, Sunroof",D00026
C26551,Ford,Fiesta,1.2,Petrol,2017,34134,17390,"Air Conditioning, Cruise Control, Navigation",D00038
C06035,Ford,Mondeo,2.0,Diesel,2008,51775,16703,"Bluetooth, Cruise Control, Heated Seats",D00041
C07906,Toyota,Prius,1.8,Hybrid,2004,98202,10605,"Air Conditioning, Heated Seats, Navigation, Sunroof",D00003
C32226,Ford,Mondeo,2.0,Diesel,1994,189351,2301,"Air Conditioning, Heated Seats",D00040
C06018,Toyota,Prius,1.4,Hybrid,1998,127333,5031,"Air Conditioning, Bluetooth, Cruise Control, Sunroof",D00034
C21880,VW,Passat,1.6,Diesel,1996,126177,4191,"Bluetooth, Heated Seats, Navigation, Sunroof",D00042
C02792,VW,Golf,1.2,Petrol,2017,12095,23949,"Air Conditioning, Cruise Control, Heated Seats",D00023
C42606,VW,Golf,2.0,Diesel,2015,60812,21317,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00021
C05824,Ford,Mondeo,1.8,Diesel,2016,52416,26904,"Air Conditioning, Bluetooth, Navigation, Sunroof",D00031
C15388,Ford,Fiesta,1.4,Petrol,2022,7038,30437,"Cruise Control, Sunroof",D00025
C29562,Ford,Mondeo,1.6,Diesel,2011,58571,17478,"Air Conditioning, Bluetooth, Sunroof",D00047
C39476,Toyota,Yaris,1.2,Hybrid,2013,74213,14367,"Bluetooth, Navigation",D00028
C00293,Ford,Focus,1.0,Petrol,2018,19640,26712,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00009
C16958,Toyota,Prius,1.8,Hybrid,2018,33831,41196,"Air Conditioning, Bluetooth, Navigation",D00046
C30861,Ford,Focus,1.4,Petrol,1996,142734,3128,"Bluetooth, Heated Seats",D00036
C14074,BMW,M5,5.0,Petrol,2004,79991,32129,Bluetooth,D00017
C21857,VW,Passat,1.8,Diesel,2018,49672,33040,"Air Conditioning, Bluetooth, Navigation",D00041
C22080,VW,Golf,1.4,Petrol,1992,196819,1274,Heated Seats,D00035
C17024,Toyota,Yaris,1.4,Petrol,2003,182211,2865,"Air Conditioning, Bluetooth, Heated Seats, Navigation",D00002
C08740,Toyota,RAV4,2.2,Hybrid,2008,141946,12859,"Bluetooth, Heated Seats, Sunroof",D00038
C15826,Toyota,Yaris,1.0,Hybrid,2014,69442,14476,"Air Conditioning, Cruise Control, Navigation",D00049
C02742,Ford,Fiesta,1.4,Petrol,2008,74758,7972,"Air Conditioning, Bluetooth, Sunroof",D00041
C18049,Toyota,Prius,1.0,Hybrid,2013,101842,14026,Sunroof,D00046
C49937,Ford,Fiesta,1.2,Petrol,2013,35476,13215,Heated Seats,D00048
C17373,Ford,Fiesta,1.2,Petrol,1994,124978,2011,"Cruise Control, Heated Seats, Navigation",D00050
C22022,Ford,Mondeo,1.4,Diesel,1999,96637,5661,Navigation,D00024
C46365,Toyota,Yaris,1.4,Hybrid,2017,38503,25435,"Air Conditioning, Heated Seats, Navigation",D00029
C23538,VW,Golf,1.8,Diesel,2021,9759,40708,"Air Conditioning, Cruise Control, Sunroof",D00006
C45500,VW,Polo,2.0,Petrol,1992,67940,3523,Air Conditioning,D00013
C40186,Toyota,RAV4,1.8,Hybrid,1993,198469,2654,"Bluetooth, Sunroof",D00007
C09614,Ford,Focus,1.0,Petrol,1995,187606,1697,Heated Seats,D00003
C43282,Toyota,Yaris,1.4,Hybrid,1996,167567,2442,"Air Conditioning, Bluetooth, Navigation",D00022
C37892,Toyota,RAV4,1.8,Hybrid,1993,188413,2898,"Cruise Control, Heated Seats",D00002
C26179,BMW,M5,5.0,Petrol,2016,47004,88701,"Bluetooth, Navigation",D00045
C45893,Toyota,Prius,1.0,Hybrid,2006,117306,7833,"Air Conditioning, Bluetooth, Heated Seats, Navigation",D00005
C20934,Ford,Mondeo,1.4,Diesel,2009,80253,12382,"Air Conditioning, Cruise Control, Heated Seats",D00019
C40972,Toyota,Yaris,1.2,Hybrid,2003,124007,5132,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00010
C22225,Toyota,Yaris,1.0,Petrol,2012,50525,11929,"Air Conditioning, Cruise Control, Heated Seats, Sunroof",D00019
C24382,Toyota,Prius,1.0,Hybrid,2001,93091,6715,"Cruise Control, Heated Seats, Navigation",D00045
C34856,BMW,Z4,2.4,Petrol,1984,208219,1163,"Air Conditioning, Cruise Control, Heated Seats",D00015
C48578,BMW,X3,2.4,Diesel,2011,73275,22722,Bluetooth,D00017
C38537,Ford,Focus,2.0,Petrol,2014,82905,19491,"Heated Seats, Sunroof",D00039
C31756,VW,Polo,1.2,Petrol,2002,83147,4793,Air Conditioning,D00024
C07754,Porsche,911,3.5,Petrol,2001,167358,13263,Air Conditioning,D00042
C46639,BMW,X3,2.4,Petrol,1995,119816,5318,Navigation,D00014
C43835,VW,Passat,1.4,Diesel,1994,81909,4757,"Air Conditioning, Bluetooth, Sunroof",D00002
C26236,Ford,Fiesta,1.2,Petrol,2014,63762,11849,"Air Conditioning, Bluetooth, Heated Seats, Navigation",D00004
C44230,BMW,X3,2.0,Diesel,2019,18694,49389,"Navigation, Sunroof",D00034
C49597,Ford,Fiesta,1.2,Petrol,1999,144318,2408,"Bluetooth, Cruise Control, Sunroof",D00043
C18553,BMW,M5,4.0,Petrol,2006,88042,31040,"Bluetooth, Heated Seats, Sunroof",D00020
C43137,Ford,Fiesta,1.2,Petrol,2018,28266,19229,"Cruise Control, Navigation",D00038
C36673,Toyota,Prius,1.0,Hybrid,1985,82024,2499,"Cruise Control, Sunroof",D00044
C43650,Toyota,Prius,1.0,Hybrid,1995,272193,982,Cruise Control,D00007
C03941,Toyota,Yaris,1.2,Petrol,2019,14052,25745,"Air Conditioning, Bluetooth, Sunroof",D00044
C31497,Ford,Focus,1.0,Hybrid,1988,340977,307,"Air Conditioning, Cruise Control, Sunroof",D00042
C26594,Ford,Fiesta,1.4,Petrol,2004,147486,3538,Sunroof,D00007
C23922,Porsche,Cayenne,2.6,Diesel,1998,113118,10188,"Bluetooth, Cruise Control",D00002
C26403,VW,Golf,2.0,Hybrid,2003,53093,11500,"Cruise Control, Heated Seats, Navigation, Sunroof",D00016
C45943,VW,Passat,1.4,Diesel,2017,42857,28423,"Air Conditioning, Bluetooth, Navigation, Sunroof",D00036
C48526,Toyota,Yaris,1.4,Petrol,2003,75862,6565,Heated Seats,D00041
C18316,Ford,Fiesta,1.4,Petrol,2015,27169,17111,"Bluetooth, Cruise Control",D00026
C36894,Ford,Focus,1.8,Hybrid,2016,60397,29491,"Cruise Control, Navigation",D00029
C26696,VW,Golf,2.0,Hybrid,2010,58982,17664,"Bluetooth, Heated Seats, Navigation",D00031
C42128,Toyota,RAV4,2.4,Hybrid,2006,113876,14640,Bluetooth,D00023
C14171,Toyota,Prius,1.0,Hybrid,1991,79785,3786,"Bluetooth, Heated Seats, Sunroof",D00017
C03733,Toyota,RAV4,2.0,Hybrid,1997,108555,7634,"Air Conditioning, Bluetooth, Cruise Control, Heated Seats",D00003
C07882,Toyota,Prius,1.4,Hybrid,2002,167049,4757,Sunroof,D00018
C06017,VW,Polo,1.4,Petrol,1999,229441,1279,Bluetooth,D00036
C23030,BMW,M5,5.0,Petrol,2017,30432,104651,"Air Conditioning, Cruise Control",D00010
C35474,Ford,Focus,2.0,Petrol,2004,123689,7409,"Cruise Control, Sunroof",D00021
C49686,Ford,Fiesta,1.0,Petrol,1999,132230,2421,"Air Conditioning, Cruise Control, Navigation, Sunroof",D00022
C04818,BMW,M5,5.0,Petrol,1985,293380,1474,"Bluetooth, Cruise Control, Navigation",D00027
C41694,VW,Passat,2.0,Diesel,2011,95665,16022,"Bluetooth, Heated Seats, Navigation, Sunroof",D00041
C12008,Toyota,Prius,1.4,Hybrid,1996,173346,3023,Heated Seats,D00017
C41328,Toyota,Prius,1.8,Hybrid,2006,121064,10210,"Bluetooth, Cruise Control, Navigation, Sunroof",D00045
C09507,BMW,X3,2.0,Diesel,2009,76295,17785,"Air Conditioning, Bluetooth, Navigation",D00045
C44799,VW,Golf,1.4,Petrol,2015,50734,18110,Bluetooth,D00022
C34063,Ford,Focus,2.0,Petrol,2019,22929,39653,Air Conditioning,D00002
C27475,VW,Polo,1.0,Diesel,2014,42892,13294,"Bluetooth, Cruise Control, Heated Seats",D00018
C31144,Ford,Focus,2.0,Diesel,2015,56991,26010,"Air Conditioning, Bluetooth, Cruise Control, Navigation",D00041
C21236,Toyota,Prius,1.4,Hybrid,2010,43037,20178,"Air Conditioning, Cruise Control, Heated Seats",D00031
C01391,Porsche,911,2.6,Petrol,2005,100825,25261,Bluetooth,D00010
C38250,Toyota,Yaris,1.0,Hybrid,2018,36759,23217,Air Conditioning,D00007
C37625,Ford,Mondeo,1.4,Diesel,2011,93722,12867,Cruise Control,D00001
C42029,Ford,Fiesta,1.2,Petrol,2002,117575,3631,"Air Conditioning, Cruise Control, Heated Seats, Navigation",D00046
C20835,Toyota,Yaris,1.4,Hybrid,1998,88054,5187,"Air Conditioning, Bluetooth, Cruise Control, Sunroof",D00039
C14758,VW,Passat,2.0,Diesel,1990,181130,1999,"Bluetooth, Heated Seats, Navigation",D00003
C26397,Toyota,Prius,1.8,Hybrid,2019,18569,48003,"Navigation, Sunroof",D00022
C06809,VW,Polo,1.0,Petrol,2008,67376,7266,Navigation,D00027
C09226,Ford,Fiesta,1.0,Diesel,2007,111454,5088,"Air Conditioning, Cruise Control, Navigation",D00026
C48395,Ford,Focus,2.0,Petrol,2008,81644,13180,"Bluetooth, Cruise Control",D00027
C05396,Toyota,Yaris,1.2,Petrol,1996,82111,3651,"Air Conditioning, Bluetooth",D00047
C06944,Toyota,Prius,1.4,Hybrid,1991,405205,246,Cruise Control,D00041
C23871,VW,Golf,2.0,Petrol,2003,119664,6006,"Air Conditioning, Bluetooth, Cruise Control, Sunroof",D00037
C32493,Porsche,Cayenne,2.6,Petrol,1989,210610,2368,Bluetooth,D00027
C36346,VW,Golf,1.4,Diesel,2007,104226,7738,"Air Conditioning, Navigation",D00027
C10756,Toyota,RAV4,2.0,Hybrid,2019,26249,56988,"Bluetooth, Cruise Control, Heated Seats, Navigation",D00005
C12302,VW,Golf,1.6,Petrol,2013,34061,18740,"Air Conditioning, Heated Seats",D00002
C48387,VW,Passat,1.4,Diesel,1998,121364,4650,"Bluetooth, Cruise Control, Navigation, Sunroof",D00031
C42746,Ford,Focus,1.6,Petrol,2012,90101,14503,"Air Conditioning, Bluetooth",D00035
C29090,Ford,Focus,1.0,Petrol,1998,186024,2102,"Cruise Control, Heated Seats, Navigation, Sunroof",D00034
C44713,VW,Passat,1.6,Diesel,2006,121402,8472,"Cruise Control, Navigation, Sunroof",D00030
C14344,Ford,Focus,2.0,Petrol,2012,72485,18320,"Cruise Control, Heated Seats, Navigation",D00031
C38173,VW,Passat,1.6,Petrol,2001,49679,9551,"Bluetooth, Cruise Control, Heated Seats, Navigation",D00022
