AccidentID,CarID,Date_of_Accident,Description,Cost_of_Repair,Severity
A62456,C41515,2023-04-26,Windshield damage,2463.0,Major
A57609,C38341,2025-02-20,Hood dent from minor crash,977.0,Severe
A45441,C30264,2021-09-21,Rear quarter panel dent,4903.0,Severe
A62052,C41253,2024-03-03,Rear quarter panel dent,1631.0,Minor
A62053,C41253,2021-03-21,Minor collision at roundabout,4720.0,Severe
A22097,C14645,2022-01-03,Damage from pothole incident,3175.0,Major
A22098,C14645,2022-11-12,Side panel scratch,1405.0,Severe
A22099,C14645,2023-06-20,Minor fender bender,3456.0,Minor
A39625,C26336,2025-03-18,Rear-end hit at traffic light,2669.0,Major
A39626,C26336,2021-01-24,Tire puncture during accident,1162.0,Severe
A39627,C26336,2023-05-25,Rear quarter panel dent,1983.0,Moderate
A42258,C28103,2024-11-10,Side swipe from passing vehicle,2940.0,Severe
A42259,C28103,2023-08-30,Minor parking lot accident,522.0,Major
A42260,C28103,2021-06-21,Collision with pole,3123.0,Severe
A37094,C24713,2021-09-06,Side mirror broken,2429.0,Moderate
A60912,C40486,2021-03-28,Front-end collision,3033.0,Moderate
A05734,C03851,2022-07-23,Fender scratch from curb,621.0,Severe
A05735,C03851,2024-12-22,Side panel scratch,3188.0,Major
A60256,C40041,2020-12-23,Front-end collision,3589.0,Minor
A60257,C40041,2023-08-07,Head-on collision,3553.0,Moderate
A60258,C40041,2023-06-02,Collision with pole,3473.0,Major
A22982,C15268,2022-07-22,Minor collision at roundabout,4349.0,Moderate
A22983,C15268,2025-05-29,Collision with pole,129.0,Moderate
A73962,C49147,2024-10-19,Door dent from tight parking,868.0,Severe
A73963,C49147,2022-10-13,Front-end collision,1499.0,Minor
A73964,C49147,2022-10-20,Head-on collision,4677.0,Minor
A69049,C45927,2024-05-28,Side mirror broken,4795.0,Moderate
A69050,C45927,2024-03-20,Accident on slippery road,4188.0,Major
A69051,C45927,2025-06-03,Minor collision at roundabout,4806.0,Severe
A52079,C34658,2025-08-20,Front-end collision,4197.0,Moderate
A55916,C37214,2021-07-14,Parking lot scrape,4550.0,Severe
A30518,C20305,2022-08-26,Head-on collision,3175.0,Moderate
A22984,C15270,2023-11-21,Scratched paint on rear bumper,2540.0,Major
A22985,C15270,2021-08-13,Rear quarter panel dent,2040.0,Severe
A33579,C22368,2025-08-23,Rear-end hit at traffic light,3450.0,Minor
A33580,C22368,2022-06-05,Door dent from tight parking,2964.0,Severe
A64279,C42685,2024-11-21,Accident on slippery road,3059.0,Moderate
A17667,C11733,2024-04-12,Parking lot scrape,924.0,Severe
A17668,C11733,2021-03-13,Tire puncture during accident,523.0,Minor
A17669,C11733,2023-12-01,Collision with pole,1427.0,Severe
A40337,C26804,2021-11-18,Collision with pole,4361.0,Severe
A66683,C44306,2025-07-01,Minor fender bender,3225.0,Severe
A71467,C47523,2021-10-12,Side panel scratch,2017.0,Minor
A71468,C47523,2023-02-17,Minor parking lot accident,4982.0,Moderate
A48369,C32208,2024-07-12,Minor fender bender,970.0,Severe
A03698,C02531,2025-02-27,Rear bumper collision,885.0,Major
A03699,C02531,2022-05-29,Front bumper scrape,4689.0,Moderate
A03700,C02531,2022-08-23,Hood dent from minor crash,2905.0,Moderate
A26651,C17747,2024-04-28,Hood dent from minor crash,1519.0,Severe
A26652,C17747,2022-11-28,Minor parking lot accident,1759.0,Major
A26653,C17747,2022-01-12,Collision with pole,2064.0,Moderate
A22720,C15080,2025-06-17,Scratched paint on rear bumper,989.0,Major
A22721,C15080,2023-05-19,Damage from pothole incident,1953.0,Major
A20520,C13625,2024-05-24,Minor collision at roundabout,3380.0,Severe
A20521,C13625,2022-09-29,Tire puncture during accident,2443.0,Minor
A46002,C30639,2023-06-29,Rear quarter panel dent,2794.0,Severe
A46003,C30639,2023-07-21,Rear quarter panel dent,576.0,Moderate
A46004,C30639,2025-06-21,Door dent from tight parking,692.0,Moderate
A45687,C30441,2021-06-11,Door dent from tight parking,3648.0,Major
A45688,C30441,2024-08-19,Rear bumper collision,4982.0,Major
A54172,C36057,2022-08-13,Rear bumper collision,1030.0,Minor
A54173,C36057,2022-03-02,Minor collision at roundabout,4134.0,Moderate
A55275,C36804,2021-09-23,Windshield damage,564.0,Severe
A55276,C36804,2024-03-07,Accident on slippery road,2431.0,Minor
A43935,C29227,2022-03-24,Side panel scratch,2950.0,Minor
A43936,C29227,2023-09-09,Windshield damage,197.0,Severe
A43937,C29227,2024-11-28,Front-end collision,702.0,Major
A08408,C05634,2021-05-12,Side mirror broken,2030.0,Major
A08409,C05634,2021-06-19,Collision with pole,583.0,Moderate
A72302,C48064,2021-06-02,Side swipe from passing vehicle,4567.0,Minor
A02630,C01813,2020-11-20,Side swipe from passing vehicle,775.0,Severe
A02631,C01813,2021-12-05,Tire puncture during accident,3080.0,Major
A02632,C01813,2022-02-17,Front-end collision,617.0,Minor
A25232,C16824,2025-03-26,Minor parking lot accident,2216.0,Major
A05844,C03929,2023-02-11,Accident on slippery road,2828.0,Major
A56044,C37287,2021-01-28,Damage from pothole incident,3873.0,Major
A56045,C37287,2021-04-21,Minor collision at roundabout,3953.0,Major
A56046,C37287,2021-02-08,Damage from pothole incident,3746.0,Severe
A37630,C25046,2023-01-16,Parking lot scrape,2072.0,Major
A37631,C25046,2024-03-10,Rear-end hit at traffic light,1617.0,Major
A37632,C25046,2025-06-04,Rear bumper collision,4185.0,Moderate
A15761,C10431,2022-08-29,Door dent from tight parking,1462.0,Severe
A15762,C10431,2021-11-24,Minor collision at roundabout,3859.0,Severe
A15763,C10431,2022-01-15,Accident on slippery road,1407.0,Major
A38752,C25769,2021-08-19,Fender scratch from curb,2340.0,Moderate
A43737,C29104,2021-07-15,Scratched paint on rear bumper,2143.0,Minor
A43738,C29104,2021-02-25,Minor parking lot accident,2003.0,Severe
A43739,C29104,2024-07-04,Side mirror broken,3511.0,Minor
A54887,C36538,2025-02-26,Front bumper scrape,3700.0,Minor
A59153,C39329,2021-02-18,Front bumper scrape,1494.0,Minor
A59154,C39329,2022-02-17,Head-on collision,1214.0,Major
A59155,C39329,2025-03-01,Side mirror broken,650.0,Moderate
A53382,C35540,2025-05-08,Head-on collision,653.0,Minor
A53383,C35540,2024-01-02,Minor parking lot accident,605.0,Severe
A42215,C28076,2020-10-13,Windshield damage,3383.0,Minor
A42216,C28076,2020-10-03,Side mirror broken,3953.0,Major
A26803,C17841,2023-02-20,Head-on collision,477.0,Minor
A41822,C27803,2025-06-18,Accident on slippery road,2383.0,Severe
A11541,C07683,2023-07-03,Door dent from tight parking,288.0,Severe
A36450,C24280,2023-09-30,Windshield damage,1041.0,Severe
A70886,C47150,2024-08-20,Parking lot scrape,3422.0,Major
A70887,C47150,2023-12-04,Scratched paint on rear bumper,1769.0,Major
A70888,C47150,2024-09-04,Rear quarter panel dent,1516.0,Severe
A70536,C46916,2022-10-21,Rear-end hit at traffic light,4645.0,Moderate
A70537,C46916,2020-11-22,Rear bumper collision,4237.0,Minor
A70538,C46916,2021-07-12,Minor parking lot accident,3182.0,Moderate
A14782,C09802,2025-01-20,Side mirror broken,319.0,Severe
A14783,C09802,2024-03-01,Minor parking lot accident,890.0,Major
A58324,C38801,2022-06-21,Side swipe from passing vehicle,2146.0,Minor
A58325,C38801,2024-03-11,Side mirror broken,4119.0,Major
A58326,C38801,2025-06-28,Minor parking lot accident,3350.0,Major
A37014,C24670,2024-09-15,Front bumper scrape,1556.0,Moderate
A66579,C44234,2024-12-01,Hood dent from minor crash,1543.0,Major
A66580,C44234,2024-12-30,Side panel scratch,3885.0,Severe
A66581,C44234,2023-08-13,Hood dent from minor crash,3709.0,Minor
A47925,C31920,2022-07-11,Side swipe from passing vehicle,910.0,Minor
A10713,C07135,2021-06-25,Rear-end hit at traffic light,1281.0,Major
A50634,C33705,2021-11-30,Minor fender bender,2608.0,Severe
A26872,C17894,2024-08-09,Collision with pole,4333.0,Moderate
A26873,C17894,2025-08-25,Head-on collision,1915.0,Severe
A64915,C43119,2022-01-07,Damage from pothole incident,3900.0,Minor
A64916,C43119,2024-01-10,Hood dent from minor crash,441.0,Moderate
A54699,C36421,2025-06-03,Minor collision at roundabout,3422.0,Minor
A14150,C09406,2022-10-01,Door dent from tight parking,4542.0,Minor
A20210,C13414,2022-03-08,Side mirror broken,2701.0,Moderate
A46749,C31139,2025-01-14,Side panel scratch,1573.0,Moderate
A46750,C31139,2025-08-18,Front bumper scrape,760.0,Major
A04018,C02730,2023-04-01,Side swipe from passing vehicle,2617.0,Severe
A04019,C02730,2025-06-20,Parking lot scrape,3080.0,Major
A04020,C02730,2024-01-09,Scratched paint on rear bumper,877.0,Major
A44521,C29626,2020-10-23,Door dent from tight parking,2417.0,Major
A44522,C29626,2024-06-04,Front-end collision,2362.0,Moderate
A44523,C29626,2023-01-30,Minor parking lot accident,4889.0,Moderate
A72033,C47895,2024-02-10,Door dent from tight parking,240.0,Minor
A63362,C42091,2024-06-18,Side panel scratch,2474.0,Minor
A63363,C42091,2021-06-05,Rear-end hit at traffic light,295.0,Severe
A54666,C36400,2020-09-21,Front-end collision,4629.0,Moderate
A54667,C36400,2024-04-09,Side panel scratch,4062.0,Severe
A54668,C36400,2024-02-12,Door dent from tight parking,2418.0,Moderate
A09342,C06245,2023-05-26,Side swipe from passing vehicle,1115.0,Minor
A09343,C06245,2024-10-15,Minor parking lot accident,1900.0,Major
A09344,C06245,2024-12-28,Rear quarter panel dent,4893.0,Severe
A08274,C05546,2022-11-21,Fender scratch from curb,927.0,Major
A08275,C05546,2024-01-11,Parking lot scrape,2148.0,Moderate
A08276,C05546,2021-02-06,Head-on collision,2400.0,Major
A06063,C04065,2022-03-07,Scratched paint on rear bumper,3552.0,Major
A06064,C04065,2022-12-06,Fender scratch from curb,1781.0,Moderate
A19408,C12852,2024-04-11,Collision with pole,3523.0,Minor
A19409,C12852,2021-01-24,Minor fender bender,3634.0,Moderate
A19410,C12852,2021-09-21,Side panel scratch,2364.0,Major
A32718,C21803,2020-10-21,Damage from pothole incident,1406.0,Major
A32719,C21803,2024-02-10,Fender scratch from curb,1169.0,Moderate
A32720,C21803,2021-04-23,Rear bumper collision,2422.0,Moderate
A61922,C41164,2022-02-12,Accident on slippery road,3282.0,Moderate
A09320,C06233,2024-03-27,Minor collision at roundabout,244.0,Moderate
A52693,C35095,2025-08-17,Rear bumper collision,1818.0,Major
A60482,C40196,2023-01-27,Side panel scratch,2748.0,Moderate
A60483,C40196,2020-12-06,Minor parking lot accident,538.0,Moderate
A59024,C39251,2023-09-13,Front bumper scrape,4200.0,Major
A59025,C39251,2021-09-14,Side mirror broken,1461.0,Major
A09297,C06218,2024-05-09,Side swipe from passing vehicle,700.0,Major
A55226,C36776,2023-01-28,Tire puncture during accident,3168.0,Major
A55227,C36776,2021-07-27,Head-on collision,2027.0,Minor
A55228,C36776,2023-05-14,Side panel scratch,4760.0,Moderate
A13380,C08894,2021-03-19,Front bumper scrape,1663.0,Severe
A13381,C08894,2025-04-25,Minor parking lot accident,2217.0,Severe
A13382,C08894,2023-01-16,Parking lot scrape,1807.0,Minor
A08995,C06021,2021-08-03,Windshield damage,4105.0,Moderate
A69289,C46089,2025-05-15,Front bumper scrape,704.0,Severe
A22950,C15243,2020-09-21,Side mirror broken,2648.0,Severe
A68124,C45308,2023-01-29,Side swipe from passing vehicle,2979.0,Moderate
A68125,C45308,2025-07-09,Parking lot scrape,3356.0,Moderate
A39945,C26551,2025-02-26,Minor fender bender,1593.0,Major
A39946,C26551,2023-05-21,Accident on slippery road,4023.0,Major
A39947,C26551,2020-10-29,Damage from pothole incident,4945.0,Severe
A09010,C06035,2020-10-24,Front-end collision,3016.0,Minor
A11906,C07906,2021-03-25,Minor collision at roundabout,4891.0,Minor
A11907,C07906,2025-02-14,Parking lot scrape,3086.0,Severe
A48394,C32226,2020-12-03,Collision with pole,215.0,Moderate
A08991,C06018,2021-03-19,Collision with pole,131.0,Major
A08992,C06018,2021-01-10,Damage from pothole incident,4133.0,Minor
A32844,C21880,2023-08-05,Damage from pothole incident,746.0,Major
A04104,C02792,2024-01-24,Side panel scratch,2911.0,Major
A04105,C02792,2022-05-05,Parking lot scrape,3084.0,Moderate
A64151,C42606,2024-08-30,Side panel scratch,4568.0,Minor
A64152,C42606,2023-10-02,Minor parking lot accident,547.0,Minor
A08704,C05824,2025-04-06,Side swipe from passing vehicle,1825.0,Moderate
A23143,C15388,2023-01-25,Collision with pole,2747.0,Moderate
A44430,C29562,2021-11-26,Collision with pole,4866.0,Moderate
A59382,C39476,2025-01-02,Scratched paint on rear bumper,483.0,Severe
A59383,C39476,2021-08-24,Front-end collision,3169.0,Major
A59384,C39476,2022-12-15,Side mirror broken,4946.0,Major
A00442,C00293,2021-12-19,Side swipe from passing vehicle,4208.0,Major
A00443,C00293,2023-12-31,Fender scratch from curb,4577.0,Minor
A00444,C00293,2023-02-17,Door dent from tight parking,1662.0,Major
A25450,C16958,2025-08-24,Minor fender bender,4240.0,Severe
A25451,C16958,2024-07-28,Front-end collision,2990.0,Major
A46348,C30861,2022-08-28,Front bumper scrape,3286.0,Major
A21201,C14074,2024-07-16,Hood dent from minor crash,1056.0,Minor
A21202,C14074,2022-02-15,Rear-end hit at traffic light,3571.0,Major
A32810,C21857,2023-06-15,Collision with pole,2482.0,Moderate
A32811,C21857,2024-09-09,Side panel scratch,2079.0,Severe
A33165,C22080,2022-02-25,Side mirror broken,4772.0,Moderate
A33166,C22080,2022-09-14,Front-end collision,693.0,Major
A33167,C22080,2023-11-14,Front-end collision,3770.0,Major
A25549,C17024,2022-11-21,Door dent from tight parking,3224.0,Major
A13164,C08740,2022-09-10,Rear quarter panel dent,3663.0,Minor
A13165,C08740,2020-10-25,Accident on slippery road,4946.0,Minor
A13166,C08740,2020-12-15,Minor parking lot accident,4401.0,Moderate
A23803,C15826,2021-03-04,Side panel scratch,126.0,Major
A23804,C15826,2025-01-24,Fender scratch from curb,1280.0,Major
A27084,C18049,2025-04-30,Accident on slippery road,3400.0,Severe
A27085,C18049,2020-09-23,Collision with pole,899.0,Major
A27086,C18049,2022-11-15,Scratched paint on rear bumper,3323.0,Minor
A26075,C17373,2024-06-02,Side mirror broken,240.0,Moderate
A69704,C46365,2025-04-04,Side panel scratch,4495.0,Moderate
A69705,C46365,2024-11-17,Fender scratch from curb,4781.0,Major
A69706,C46365,2023-07-10,Head-on collision,2131.0,Minor
A35367,C23538,2021-09-06,Door dent from tight parking,2685.0,Major
A35368,C23538,2021-06-06,Tire puncture during accident,3526.0,Severe
A35369,C23538,2022-11-28,Windshield damage,2718.0,Severe
A68421,C45500,2025-01-13,Side swipe from passing vehicle,975.0,Moderate
A68422,C45500,2022-03-22,Door dent from tight parking,1038.0,Minor
A60470,C40186,2022-02-21,Minor collision at roundabout,4794.0,Moderate
A60471,C40186,2024-09-21,Accident on slippery road,2614.0,Moderate
A60472,C40186,2022-09-30,Hood dent from minor crash,3044.0,Severe
A14485,C09614,2024-01-03,Tire puncture during accident,1053.0,Severe
A14486,C09614,2022-02-28,Rear-end hit at traffic light,3969.0,Minor
A65181,C43282,2021-01-16,Collision with pole,4234.0,Major
A56938,C37892,2020-09-10,Minor parking lot accident,3917.0,Severe
A56939,C37892,2022-07-12,Door dent from tight parking,4737.0,Severe
A39375,C26179,2022-04-03,Parking lot scrape,2367.0,Minor
A39376,C26179,2022-02-05,Rear quarter panel dent,3059.0,Minor
A68996,C45893,2024-03-18,Side mirror broken,2119.0,Minor
A68997,C45893,2023-11-15,Parking lot scrape,2933.0,Moderate
A61651,C40972,2021-01-13,Scratched paint on rear bumper,1752.0,Severe
A61652,C40972,2021-05-02,Side panel scratch,3351.0,Severe
A33389,C22225,2024-11-07,Rear quarter panel dent,842.0,Moderate
A36595,C24382,2025-01-09,Front bumper scrape,3708.0,Severe
A36596,C24382,2024-08-21,Collision with pole,1106.0,Minor
A36597,C24382,2021-05-01,Front bumper scrape,1444.0,Severe
A52359,C34856,2024-06-25,Front bumper scrape,2764.0,Severe
A52360,C34856,2024-08-10,Tire puncture during accident,4184.0,Severe
A52361,C34856,2021-07-18,Rear-end hit at traffic light,311.0,Major
A73090,C48578,2021-08-16,Accident on slippery road,586.0,Major
A73091,C48578,2023-09-17,Side panel scratch,2736.0,Major
A73092,C48578,2022-04-27,Rear quarter panel dent,3818.0,Major
A11656,C07754,2024-06-24,Parking lot scrape,1750.0,Moderate
A11657,C07754,2021-05-20,Scratched paint on rear bumper,2381.0,Severe
A65996,C43835,2023-01-08,Front bumper scrape,2871.0,Moderate
A65997,C43835,2022-09-30,Damage from pothole incident,1584.0,Moderate
A39471,C26236,2025-04-04,Side panel scratch,427.0,Moderate
A39472,C26236,2021-05-09,Minor parking lot accident,2453.0,Moderate
A39473,C26236,2023-05-28,Rear quarter panel dent,2894.0,Minor
A66572,C44230,2024-08-16,Accident on slippery road,593.0,Minor
A74612,C49597,2023-07-28,Side mirror broken,233.0,Minor
A74613,C49597,2022-04-12,Parking lot scrape,1797.0,Minor
A27872,C18553,2021-07-03,Side swipe from passing vehicle,4006.0,Minor
A64956,C43137,2023-07-03,Minor parking lot accident,287.0,Moderate
A55062,C36673,2022-12-27,Tire puncture during accident,2261.0,Major
A55063,C36673,2021-07-20,Side swipe from passing vehicle,4089.0,Moderate
A55064,C36673,2020-09-03,Head-on collision,1072.0,Minor
A35894,C23922,2024-08-01,Front-end collision,2301.0,Severe
A35895,C23922,2023-01-18,Parking lot scrape,1955.0,Minor
A35896,C23922,2025-01-09,Rear quarter panel dent,433.0,Major
A69076,C45943,2023-10-23,Minor parking lot accident,4116.0,Minor
A73005,C48526,2024-01-16,Accident on slippery road,4985.0,Severe
A55400,C36894,2025-02-13,Fender scratch from curb,2152.0,Moderate
A40171,C26696,2023-12-20,Front bumper scrape,2987.0,Moderate
A40172,C26696,2024-09-11,Minor collision at roundabout,3947.0,Moderate
A40173,C26696,2025-07-03,Front-end collision,4115.0,Major
A63421,C42128,2020-09-01,Accident on slippery road,4171.0,Major
A63422,C42128,2024-12-11,Accident on slippery road,3646.0,Moderate
A63423,C42128,2020-11-20,Accident on slippery road,2322.0,Severe
A21355,C14171,2022-01-11,Door dent from tight parking,1014.0,Major
A05548,C03733,2025-01-07,Rear quarter panel dent,986.0,Severe
A05549,C03733,2022-11-08,Side mirror broken,1100.0,Major
A11860,C07882,2024-10-18,Scratched paint on rear bumper,4498.0,Severe
A11861,C07882,2021-08-16,Rear bumper collision,3765.0,Moderate
A34558,C23030,2021-04-26,Side swipe from passing vehicle,1640.0,Major
A34559,C23030,2025-08-20,Fender scratch from curb,181.0,Minor
A34560,C23030,2023-03-30,Windshield damage,1782.0,Major
A53280,C35474,2022-11-25,Side swipe from passing vehicle,1513.0,Minor
A53281,C35474,2020-09-21,Hood dent from minor crash,2892.0,Moderate
A74740,C49686,2020-09-16,Rear-end hit at traffic light,318.0,Severe
A74741,C49686,2022-06-12,Fender scratch from curb,2574.0,Moderate
A07173,C04818,2024-09-13,Tire puncture during accident,1604.0,Major
A07174,C04818,2020-11-25,Front bumper scrape,4505.0,Minor
A62729,C41694,2021-05-25,Minor fender bender,2199.0,Major
A18110,C12008,2024-08-18,Door dent from tight parking,4399.0,Major
A18111,C12008,2021-07-03,Fender scratch from curb,781.0,Severe
A18112,C12008,2023-01-10,Rear bumper collision,905.0,Severe
A14315,C09507,2021-09-14,Windshield damage,3236.0,Minor
A14316,C09507,2020-12-27,Head-on collision,2012.0,Major
A14317,C09507,2021-08-19,Windshield damage,549.0,Major
A67383,C44799,2025-04-09,Rear-end hit at traffic light,2652.0,Minor
A67384,C44799,2020-09-25,Rear bumper collision,741.0,Severe
A46761,C31144,2023-07-26,Minor collision at roundabout,3537.0,Severe
A02002,C01391,2023-10-07,Accident on slippery road,4218.0,Severe
A02003,C01391,2021-11-17,Front-end collision,3711.0,Severe
A57460,C38250,2021-06-29,Side panel scratch,602.0,Moderate
A57461,C38250,2025-03-07,Fender scratch from curb,2766.0,Major
A57462,C38250,2024-08-15,Damage from pothole incident,2173.0,Minor
A63254,C42029,2023-04-13,Rear bumper collision,1757.0,Severe
A63255,C42029,2021-08-31,Scratched paint on rear bumper,2470.0,Major
A63256,C42029,2022-12-14,Front bumper scrape,1136.0,Severe
A31267,C20835,2021-03-29,Scratched paint on rear bumper,2198.0,Minor
A31268,C20835,2021-01-09,Fender scratch from curb,4032.0,Moderate
A31269,C20835,2022-02-17,Rear bumper collision,1793.0,Minor
A39706,C26397,2022-05-24,Side panel scratch,537.0,Severe
A39707,C26397,2022-08-19,Fender scratch from curb,1628.0,Severe
A10233,C06809,2024-05-14,Parking lot scrape,2554.0,Major
A10234,C06809,2023-11-19,Collision with pole,3072.0,Moderate
A10235,C06809,2021-08-03,Accident on slippery road,1216.0,Minor
A13884,C09226,2023-06-24,Windshield damage,351.0,Moderate
A72819,C48395,2021-03-15,Front bumper scrape,256.0,Severe
A72820,C48395,2021-12-04,Accident on slippery road,367.0,Severe
A72821,C48395,2023-03-20,Front-end collision,1040.0,Major
A10445,C06944,2024-01-15,Scratched paint on rear bumper,4580.0,Moderate
A35822,C23871,2022-08-23,Door dent from tight parking,4142.0,Major
A48799,C32493,2024-02-07,Minor collision at roundabout,3176.0,Major
A48800,C32493,2023-11-16,Damage from pothole incident,685.0,Moderate
A54577,C36346,2021-07-26,Rear bumper collision,2480.0,Moderate
A54578,C36346,2022-05-15,Damage from pothole incident,3193.0,Major
A54579,C36346,2020-10-20,Parking lot scrape,1137.0,Minor
A16223,C10756,2024-05-29,Side panel scratch,393.0,Severe
A18551,C12302,2022-02-10,Minor parking lot accident,2887.0,Severe
A18552,C12302,2023-10-04,Front-end collision,1556.0,Severe
A72811,C48387,2023-04-03,Rear quarter panel dent,4555.0,Moderate
A72812,C48387,2024-01-10,Minor parking lot accident,4422.0,Major
A64373,C42746,2024-01-02,Door dent from tight parking,2558.0,Moderate
A64374,C42746,2021-08-27,Tire puncture during accident,2207.0,Severe
A64375,C42746,2025-05-11,Side mirror broken,3603.0,Minor
A43708,C29090,2020-12-18,Collision with pole,1687.0,Minor
A43709,C29090,2025-07-27,Side swipe from passing vehicle,3942.0,Moderate
A67271,C44713,2023-01-14,Parking lot scrape,3979.0,Severe
A21624,C14344,2025-06-21,Tire puncture during accident,1221.0,Moderate
A21625,C14344,2024-10-30,Fender scratch from curb,4307.0,Minor
A21626,C14344,2023-08-27,Windshield damage,762.0,Major
A57351,C38173,2022-12-23,Scratched paint on rear bumper,355.0,Minor
A36226,C24122,2021-05-25,Head-on collision,3678.0,Moderate
A36227,C24122,2023-10-11,Door dent from tight parking,2892.0,Severe
A26769,C17821,2024-07-23,Tire puncture during accident,192.0,Severe
A26770,C17821,2022-10-09,Door dent from tight parking,4414.0,Moderate
A01611,C01123,2025-03-01,Accident on slippery road,4614.0,Major
A01612,C01123,2024-09-23,Minor parking lot accident,1574.0,Severe
A01613,C01123,2024-01-15,Rear bumper collision,4672.0,Severe
A45931,C30580,2024-05-30,Accident on slippery road,4588.0,Minor
A72542,C48217,2023-11-20,Fender scratch from curb,3441.0,Minor
A72543,C48217,2024-12-21,Tire puncture during accident,1951.0,Minor
A23550,C15657,2023-01-02,Minor parking lot accident,4903.0,Severe
A23551,C15657,2021-07-10,Door dent from tight parking,833.0,Moderate
A00227,C00148,2022-11-27,Minor parking lot accident,271.0,Major
A00228,C00148,2025-02-20,Front-end collision,3320.0,Minor
A44550,C29643,2024-01-11,Damage from pothole incident,4768.0,Major
A44551,C29643,2021-08-03,Side mirror broken,593.0,Minor
A66016,C43851,2025-03-07,Minor fender bender,205.0,Severe
A66017,C43851,2023-03-30,Side panel scratch,1494.0,Minor
A03414,C02355,2021-06-07,Windshield damage,1502.0,Major
A03415,C02355,2023-01-03,Parking lot scrape,1541.0,Severe
